resultado,capitulo,tipo,figura_asociada,codigo_generador_existe,archivo,observacion
Notation for Network Setting,chapter03,tabla,,n/a,,Tabla de notación; sin valores calculados
No payments allowed. Figure 1 (a) from \protect\citeA{jalan_incentive-aware_2024},chapter03,figura,no_payments.png,n/a,,Figura reproducida de Jalan et al. (2024); no la genera código
Payments allowed. Figure 1 (b) from \protect\citeA{jalan_incentive-aware_2024},chapter03,figura,payments.png,n/a,,Figura reproducida de Jalan et al. (2024); no la genera código
Summary of Key Metrics for Network Evaluation,chapter03,tabla,,n/a,,Tabla de definiciones; sin valores calculados
Network structure with regulatory constraint.,chapter04,figura,network3_with_con.png,no,,Diagrama de red; el .qmd no importa networkx ni dibuja grafos
Network structure without regulatory constraint (3-firm baseline). The previously prohibited link between the National B,chapter04,figura,network3_without_con.png,no,,Diagrama de red; sin código de dibujo versionado
Baseline Comparison: Impact of Regulatory Constraint (3-Firm Scenarios),chapter04,tabla,,si,code/Financial_Networks_Stability.qmd,REPRODUCIDA: 14/14 métricas dentro del redondeo impreso (tabla_baseline_cap4.csv)
Network structure with 4 agents under regulatory constraint. The introduction of the Fintech creates perfect competition,chapter04,figura,network4_with_con.png,no,,Diagrama de red; sin código de dibujo versionado
Impact of Fintech Entry on Network Activity and Welfare,chapter04,tabla,,si,code/Financial_Networks_Stability.qmd (+ parámetros cap. 4),"REPRODUCIDA en sus valores titulares (utilidad total 1.0341, fintech 0.2390, volumen 1.3508). Reproducido en esta auditoría con el núcleo versionado y los parámetros declarados en el cap. 4 (rho=0.99): no requiere álgebra nueva, solo un script de escenario"
The Limits of Competition: Comparison Against Unrestricted Benchmark,chapter04,tabla,,si,code/Financial_Networks_Stability.qmd (+ parámetros cap. 4),"REPRODUCIDO el benchmark 4F sin restricción: utilidad total 1.7413 exacta. Reproducido en esta auditoría con el núcleo versionado y los parámetros declarados en el cap. 4 (rho=0.99): no requiere álgebra nueva, solo un script de escenario"
Master Comparison: Network Efficiency and Welfare Across All Scenarios,chapter04,tabla,,parcial,code/Financial_Networks_Stability.qmd / code/.ipynb_checkpoints/Verificacion_Derivaciones.py,"Columnas 3F-WITH, 3F-WITHOUT, 4F-WITH y 4F-WITHOUT reproducidas; la columna dual (4F-DUAL, 1.7413 con restricción) requiere implementar el modelo dual"
3-Agent Dual Network: Symmetric Baseline (No Restrictions),chapter04,tabla,,parcial,code/.ipynb_checkpoints/Verificacion_Derivaciones.py,"Álgebra dual (H=2gS+lambda_B*I, tau, CPO, caso restringido) derivada y verificada simbólicamente; no existe implementación numérica que genere los valores"
3-Agent Dual Network: Restriction in Traditional Network Only,chapter04,tabla,,parcial,code/.ipynb_checkpoints/Verificacion_Derivaciones.py,"Álgebra dual (H=2gS+lambda_B*I, tau, CPO, caso restringido) derivada y verificada simbólicamente; no existe implementación numérica que genere los valores"
